sample_id,bodysite,gut_pharynx ,gut_mouth,pharynx_mouth
SRR5399449,gut,gut,gut,
SRR5399448,gut,gut,gut,
SRR5399447,gut,gut,gut,
SRR5399446,gut,gut,gut,
SRR5399445,gut,gut,gut,
SRR5399444,gut,gut,gut,
SRR5399443,gut,gut,gut,
SRR5399442,gut,gut,gut,
SRR5399441,gut,gut,gut,
SRR5399440,gut,gut,gut,
SRR5399439,gut,gut,gut,
SRR5399438,gut,gut,gut,
SRR5399437,gut,gut,gut,
SRR5399436,gut,gut,gut,
SRR5399435,gut,gut,gut,
SRR5399434,gut,gut,gut,
SRR5399433,gut,gut,gut,
SRR5399432,gut,gut,gut,
SRR5399431,gut,gut,gut,
SRR5399424,gut,gut,gut,
SRR5399423,gut,gut,gut,
SRR5399422,gut,gut,gut,
SRR5399421,gut,gut,gut,
SRR5399420,gut,gut,gut,
SRR5399419,gut,gut,gut,
SRR5399415,gut,gut,gut,
SRR5399414,gut,gut,gut,
SRR5399413,gut,gut,gut,
SRR5399412,gut,gut,gut,
SRR5399411,gut,gut,gut,
SRR5399409,gut,gut,gut,
SRR5399408,gut,gut,gut,
SRR5399407,gut,gut,gut,
SRR5399406,gut,gut,gut,
SRR5399405,gut,gut,gut,
SRR5399404,gut,gut,gut,
SRR5399403,gut,gut,gut,
SRR5399402,gut,gut,gut,
SRR5399401,gut,gut,gut,
SRR5399400,gut,gut,gut,
SRR5399399,gut,gut,gut,
SRR5399398,gut,gut,gut,
SRR5399391,gut,gut,gut,
SRR5399390,gut,gut,gut,
SRR5399389,gut,gut,gut,
SRR5399388,gut,gut,gut,
SRR5399387,gut,gut,gut,
SRR5399386,gut,gut,gut,
SRR5399382,gut,gut,gut,
SRR5399381,gut,gut,gut,
SRR5399380,gut,gut,gut,
SRR5399378,gut,gut,gut,
SRR5399377,gut,gut,gut,
SRR5399367,gut,gut,gut,
SRR5399366,gut,gut,gut,
SRR5399365,gut,gut,gut,
SRR5399364,gut,gut,gut,
SRR5399363,gut,gut,gut,
SRR5399362,gut,gut,gut,
SRR5399361,gut,gut,gut,
SRR5399360,gut,gut,gut,
SRR5399359,gut,gut,gut,
SRR5399358,gut,gut,gut,
SRR5399357,gut,gut,gut,
SRR5399356,gut,gut,gut,
SRR5399355,gut,gut,gut,
SRR5399354,gut,gut,gut,
SRR5399353,gut,gut,gut,
SRR5399352,gut,gut,gut,
SRR5399351,gut,gut,gut,
SRR5399349,gut,gut,gut,
SRR5399347,gut,gut,gut,
SRR5399346,gut,gut,gut,
SRR5399345,gut,gut,gut,
